CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-01 00:00,480.4,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-02 00:00,425.1,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-03 00:00,425.1,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-04 00:00,489.8,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-05 00:00,590.1,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-06 00:00,365.2,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-07 00:00,348.3,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-08 00:00,328.3,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-09 00:00,328.3,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-10 00:00,348.3,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-11 00:00,340,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-12 00:00,336.5,4,EST. OTROS METODOS,900
21237020,ARRANCAPLUMAS  - AUT [21237020],5.2024166670,-74.72761111,222,Limnigráfica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 10 - Tolima,Cundinamarca,Guaduas,15/01/1934 00:00,,CAUDAL,Q_MEDIA_D,Caudal medio diario,Diaria,2010-01-13 00:00,362.5,4,EST. OTROS METODOS,900
